a,b,rank,normalized_leading_coeff,omega,regulator,tamagawa,weak_bsd_holds,log_delta,log_cond
13,377,0,0.15248784246208363956283412258,1.5248784246208363956283412258,1.0,1,True,17.935203387706768,17.935203387706768
89,144,1,0.29437200606692904381404309311,1.2586015062787318056673340499,2.33888172386898,1,True,17.80590043070651,17.80590043070651
34,233,1,1.3505501522632834516438492939,1.5316261728653779955245400525,4.40887657899141,2,True,17.072387275383946,16.379240094824
21,377,2,4.8908235212032508551081877140,1.4996021175316803131515116071,32.6141412046914,1,True,17.94252287104276,17.94252287104276
5,144,2,2.7392969352182205730478096535,1.8029908799109454500594532640,15.1930714999153,1,True,16.008944850125307,16.008944850125307
2,144,3,3.5620854002542971603630883958,1.8236602565125279190648710531,9.76630758808727,2,True,16.00810934168413,15.314962161124182
34,144,2,1.2623558290853645758994107725,1.5874476029557543327015819683,3.97605510485800,2,True,16.25554256790266,15.562395387342713
144,233,1,1.4397681380538820045587978770,1.1093071817654113436605273746,2.16316418289501,6,True,19.184080514220987,16.699173864432986
233,377,1,4.2519873284318607465001911780,0.97788673099329385551811276549,43.4813889346150,1,True,20.58510350491219,20.58510350491219
89,233,0,0.12708340206650808518508941339,1.2708340206650808518508941339,1.0,1,True,18.04337827944367,18.04337827944367
3,144,2,1.5564468201980692808604909534,1.8167876573841279042096187870,2.14175665201168,4,True,16.008245070027627,14.216485600799574
2,3,1,0.22742262828890630639303376507,3.1380735450430275094334329001,1.44944103460002,2,True,8.389359819906353,6.779921907472252
144,5,0,0.10715077906203850544980304264,1.0715077906203850544980304264,1.0,1,True,19.06837949452438,17.68208513340449
13,89,1,0.87626071302887817570016783871,1.8534058642808526079425485558,4.72784040407080,1,True,15.085967489508196,15.085967489508196
21,13,0,0.35903558792270505854046617293,1.7951779396135252927023308647,1.0,2,True,13.408612423564225,12.310000134896116
377,5,0,2.1043280617176825651701247059,0.84173122468707302606804988235,1.0,1,True,21.955621795040063,21.955621795040063
21,5,0,0.35213828959391862301939377954,1.7606914479695931150969688977,1.0,2,True,13.310507947501073,12.211895658832962
55,3,1,0.29203368702676721287466493307,1.3650505244555651763777083939,2.13936174372184,1,True,16.181247711403305,16.181247711403305
377,89,2,10.298350880276821804717140263,0.84498140494999086719071405265,121.876656929348,1,True,21.956615985497983,21.956615985497983
34,2,1,0.90830418476200929153834480060,1.5408678141533980480942638445,5.89475733362021,1,True,14.738651374345844,14.738651374345844
144,377,1,1.0410111660812234768954450650,1.1221361115113157942991577878,1.54617482882590,6,True,19.34693251553324,16.862025865745238
13,987,1,1.3039158348750303747140334275,1.3151800172294174231558959060,4.95717627166311,2,True,19.858099723234773,19.164952542674826
377,987,3,9.0806664941709888414870399502,0.87208122227906561171302115761,52.0631924079268,2,True,22.07137262623868,21.378225445678737
377,233,1,2.6648608095883944559353456514,0.85029384326457882578289548232,31.3404693059643,1,True,21.962434349565985,21.962434349565985
3,89,1,0.64324388344582834500532471427,1.9600188761307938499775937804,1.64091247099526,2,True,15.046203186989592,12.0504709134356
5,55,1,0.60195950114085611629809566799,2.0798067477218010481223897878,1.44715248616304,2,True,14.089195120772201,13.396047940212256
2,233,1,2.1306782909295550373241513427,1.6865838951783869258363782598,3.15827498563924,4,True,16.97052432617454,14.331466996559282
2,89,0,0.39406077220873739436509377827,1.9703038610436869718254688913,1.0,2,True,15.045847942217536,14.35270076165759
377,21,0,0.33694341281306816030884825964,0.84235853203267040077212064911,1.0,1,True,21.955674198541455,21.955674198541455
8,144,1,0.38469637567120004704082803577,1.7821039147165680106105323788,1.07933205379997,2,True,16.011703492228616,11.159673228308998
-1706,6320,1,0.57161472701821916623395660050,0.42236269178325809849360427108,3.38343524498343,4,True,26.428773247791085,25.73562606723114
